gender,metric,months,median,source
Nam,HFA,0,49.9,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,1,54.7,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,2,58.4,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,3,61.4,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,4,63.9,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,5,65.9,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,6,67.6,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,7,69.2,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,8,70.6,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,9,72,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,10,73.3,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,11,74.5,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,12,75.7,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,13,76.9,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,14,78,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,15,79.2,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,16,80.2,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,17,81.2,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,18,82.3,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,19,83.2,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,20,84.2,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,21,85.1,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,22,86.1,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,23,86.9,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,24,87.8,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,25,88,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,26,88.8,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,27,89.6,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,28,90.4,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,29,91.2,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,30,91.9,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,31,92.7,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,32,93.4,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,33,94.1,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,34,94.8,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,35,95.4,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,36,96.1,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,37,96.7,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,38,97.4,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,39,98,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,40,98.6,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,41,99.2,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,42,99.8,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,43,100.5,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,44,101,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,45,101.6,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,46,102.2,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,47,102.8,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,48,103.3,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,49,103.9,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,50,104.4,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,51,105,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,52,105.6,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,53,106.1,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,54,106.7,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,55,107.2,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,56,107.8,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,57,108.3,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,58,108.9,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,59,109.4,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,60,110,WHO Child Growth Standards 2006 (0-60 thang)
Nam,HFA,61,110.3,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,62,110.8,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,63,111.3,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,64,111.9,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,65,112.4,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,66,112.9,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,67,113.4,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,68,113.9,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,69,114.5,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,70,115,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,71,115.5,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,72,116,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,73,116.4,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,74,116.9,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,75,117.4,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,76,117.9,WHO Growth Reference 2007 (61-228 thang)
